total_comp_bt,year_centered,log_n_exec,is_dax,sector,company_shortname,year,log_comp,log_comp_lag1,sector_Auto,sector_Banking,sector_Chemicals,sector_Consumer,sector_Energy,sector_Industrials,sector_Insurance,sector_Logistics,sector_Media,sector_Pharma,sector_Real Estate,sector_Tech,sector_Telecom,log_comp_pred,log_comp_resid,resid_std,pred_comp,pred_comp_low,pred_comp_high,actual_vs_expected_pct,benchmark_signal
37443.25,9,2.3978952727983707,1,Insurance,Allianz,2021,10.5305817323797,10.443920521054777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.49925007920522,0.03133165317447961,0.26831370093916534,36288.27913264415,25740.181746997103,51158.89294613553,3.182765606310777,🟢 In Line
58093.5,10,2.3978952727983707,1,Insurance,Allianz,2022,10.969809060505677,10.5305817323797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.567490751442136,0.40231830906354027,0.26831370093916534,38851.064335439434,27558.029230404587,54771.88471558544,49.528722040718634,🔴 Significantly Overpaid
44228.0,11,2.1972245773362196,1,Insurance,Allianz,2023,10.697113351662292,10.969809060505677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.762570565240498,-0.06545721357820611,0.26831370093916534,47219.893972377984,33494.24888626232,66570.18625299398,-6.336087866118757,🟢 In Line
47844.0,12,2.1972245773362196,1,Insurance,Allianz,2024,10.775700997169356,10.697113351662292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.614091005192213,0.16160999197714254,0.26831370093916534,40704.380929857885,28872.632929320214,57384.67395539973,17.540173580935093,🟡 Above Market
28018.0,-5,2.1972245773362196,1,Chemicals,BASF,2007,10.24060243975606,10.026457114879811,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.976749669903258,0.2638527698528019,0.31401942655800763,21520.250830566394,14397.427214028477,32166.941282345248,30.19364978871202,🟡 Above Market
22353.0,-4,2.302585092994046,1,Chemicals,BASF,2008,10.014715819221838,10.24060243975606,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.166914286491322,-0.15219846726948383,0.31401942655800763,26027.63888681723,17412.949290243272,38904.264563736986,-14.118218340113831,🟢 In Line
17596.0,-3,2.0794415416798357,1,Chemicals,BASF,2009,9.77542688246861,10.014715819221838,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.951271515973477,-0.1758446335048678,0.31401942655800763,20978.88041168074,14035.240859273561,31357.73926079822,-16.125171340398133,🟡 Below Market
25708.0,-2,2.0794415416798357,1,Chemicals,BASF,2010,10.154557506491177,9.77542688246861,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.822938843325849,0.33161866316532773,0.31401942655800763,18452.199257731292,12344.846621146215,27581.035868342402,39.322146053829314,🟡 Above Market
31265.0,-1,2.302585092994046,1,Chemicals,BASF,2011,10.350254540001398,10.154557506491177,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.162954106587154,0.18730043341424363,0.31401942655800763,25924.768581246255,17344.127242182414,38750.50134298965,20.598955018702927,🟡 Above Market
27191.0,0,2.1972245773362196,1,Chemicals,BASF,2012,10.210641315177503,10.350254540001398,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.251910790839744,-0.04126947566224182,0.31401942655800763,28336.63560676275,18957.70880418111,42355.58873725084,-4.042948579574262,🟢 In Line
